product_name,brand,selling_price,list_price,discount_percentage,rating,num_reviews,size,color,description,sku
"Allen Solly Men’s Polo T‑Shirt | Comfortable Rich Cotton Blend, Band Collar, Regular Fit | Stylish & Premium All Day Wear",Allen Solly Store,,,0,4.1,80888,M,Indigo Melange,,
U.S. Polo ASSN. Men's Cotton Regular Fit T-Shirt,U.S. Polo Assn.,552,699,21,3.9,3,L,DUSTY BLUE,,B0BT1TY43X
"Allen Solly Men’s Polo T‑Shirt | Comfortable Rich Cotton Blend, Band Collar, Regular Fit | Stylish & Premium All Day Wear",Allen Solly,629,1099,43,4.1,4,M,Coral,,B06Y2DTKMC
"Allen Solly Men’s Polo T‑Shirt | Comfortable Rich Cotton Blend, Band Collar, Regular Fit | Stylish & Premium All Day Wear",Allen Solly,679,1099,38,4.1,4,M,LILAC,,B0D6YH7STH
Amazon Brand - Symbol Men's Cotton Rich Striped Polo Tshirts | Collar Tshirts | Half Sleeves - Regular Fit (Available in Plus Sizes),Amazon Brand - Symbol,449,,65,3.9,11516,XL,Pomegrante and Peacot Blue,,
"Allen Solly Men’s Polo T‑Shirt | Comfortable Rich Cotton Blend, Band Collar, Regular Fit | Stylish & Premium All Day Wear",Allen Solly,679,228,38,4.1,4,XL,Coffee Melange,,B06Y277HHR
Amazon Brand - Symbol Men's Cotton Rich Striped Polo Tshirts | Collar Tshirts | Half Sleeves - Regular Fit (Available in Plus Sizes),Amazon Brand - Symbol,449,,65,3.9,11516,XL,Pomegrante and Peacot Blue,,
Amazon Brand - Symbol Men's Cotton Rich Striped Polo Tshirts | Collar Tshirts | Half Sleeves - Regular Fit (Available in Plus Sizes),Amazon Brand - Symbol,449,,65,3.9,11516,XL,Glazed Ginger and Estate Blue,,
"Allen Solly Men’s Polo T‑Shirt | Comfortable Rich Cotton Blend, Band Collar, Regular Fit | Stylish & Premium All Day Wear",Allen Solly,629,1099,43,4.1,4,XL,Coffee Melange,,B06Y277HHR
Amazon Brand - Symbol Men's Cotton Rich Striped Polo Tshirts | Collar Tshirts | Half Sleeves - Regular Fit (Available in Plus Sizes),Amazon Brand - Symbol,449,,72,3.9,11516,XL,Mid Grey and White,,
Amazon Brand - Symbol Men's Cotton Rich Striped Polo Tshirts | Collar Tshirts | Half Sleeves - Regular Fit (Available in Plus Sizes),Amazon Brand - Symbol,449,1299,65,3.9,3,XL,Light Sky & Iris Navy,,B081BCMTCH
Amazon Brand - Symbol Men's Cotton Rich Striped Polo Tshirts | Collar Tshirts | Half Sleeves - Regular Fit (Available in Plus Sizes),Amazon Brand - Symbol,449,,65,3.9,11516,XL,Pomegrante and Peacot Blue,,
