crawl_timestamp,uniq_id,page_url,product_name,brand,selling_price,list_price,discount_percentage,rating,num_reviews,sku,color
"Apr 17, 2026 @ 00:42:55.030",a929f39ed3df130531bd5f26a3601d0a,https://www.flipkart.com/ni-fashion-boys-girls-printed-cotton-blend-regular-t-shirt/p/itm471fbe055a365?pid=KTBHY63QRFSVHYEC&lid=LSTKTBHY63QRFSVHYECB3WPAG&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_23&otracker=browse&fm=organic&iid=6dfd3d3b-78d9-476e-a80b-81290b8775f0.KTBHY63QRFSVHYEC.SEARCH&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,NI Fashion Boys & Girls Printed Cotton Blend Regular T Shirt,NI Fashion,278,999,72,4.0,15466,KTBHY63QRFSVHYEC,Wine/Salmon/Navy
"Apr 17, 2026 @ 00:42:55.136",b850330ed16a29ded9b0cba878cf53b6,https://www.flipkart.com/sazgar-boys-girls-printed-polyester-regular-t-shirt/p/itm30b2a8fcd3378?pid=KTBHCHTSG4Y5DVU5&lid=LSTKTBHCHTSG4Y5DVU5F71VXF&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_24&otracker=browse&fm=organic&iid=6dfd3d3b-78d9-476e-a80b-81290b8775f0.KTBHCHTSG4Y5DVU5.SEARCH&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,Sazgar Boys & Girls Printed Polyester Regular T Shirt,Sazgar,160,599,73,3.6,652,KTBHCHTSG4Y5DVU5,Black
"Apr 17, 2026 @ 00:42:55.246",951ff9976dbc54bfb71b73bdcc2d09e9,https://www.flipkart.com/magneto-printed-men-round-neck-white-t-shirt/p/itmac92c11501888?pid=TSHHG742DCPWTNFW&lid=LSTTSHHG742DCPWTNFWOZBO9X&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_21&otracker=browse&fm=organic&iid=en_T0kLveZ7Uem1amLobukH34_bEDdx5Ygo2YJjG9qcg6AEOeF81cZEW0UEqAf-wb4UFkKqvy6NGwCSXRAwBDKLj_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,Magneto Printed Men Round Neck White T-Shirt,Magneto,358,999,64,4.0,2117,TSHHG742DCPWTNFW,WHITE
"Apr 17, 2026 @ 00:42:55.345",ff5581d42e55332af6df09a000f260db,https://www.flipkart.com/teeglee-printed-men-v-neck-red-t-shirt/p/itmef8c73918c0c6?pid=TSHHHZNE3KGR8ZHA&lid=LSTTSHHHZNE3KGR8ZHAREEZKD&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_22&otracker=browse&fm=organic&iid=en_T0kLveZ7Uem1amLobukH34_bEDdx5Ygo2YJjG9qcg6D-tW4n3Li1e3AG-MNhmg71x5HBvDv5LjTIWHBiJazZHPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,Teeglee Printed Men V Neck Red T-Shirt,Teeglee,347,899,61,4.0,5,TSHHHZNE3KGR8ZHA,Red
"Apr 17, 2026 @ 00:42:55.439",deeacbdce3acef7f97693e2ebb3a596e,https://www.flipkart.com/magneto-printed-men-round-neck-red-t-shirt/p/itm33e04f607aa9d?pid=TSHHJY96HB3U33ZT&lid=LSTTSHHJY96HB3U33ZTNFMIMI&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_25&otracker=browse&fm=organic&iid=en_T0kLveZ7Uem1amLobukH34_bEDdx5Ygo2YJjG9qcg6AEX4ZawUWSaz8KmUCAY0OPmjLYyvzz1lNyTVecrRyNyfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,Magneto Printed Men Round Neck Red T-Shirt,Magneto,323,999,68,4.0,2117,TSHHJY96HB3U33ZT,RED
"Apr 17, 2026 @ 00:42:55.538",b3aec6403362b51ab6813ee4e2bf1488,https://www.flipkart.com/hoc-printed-women-round-neck-black-t-shirt/p/itmd1152d156f990?pid=TSHHMD8QMWWXBZHR&lid=LSTTSHHMD8QMWWXBZHRK8PABA&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_26&otracker=browse&fm=organic&iid=6dfd3d3b-78d9-476e-a80b-81290b8775f0.TSHHMD8QMWWXBZHR.SEARCH&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,HOC Printed Women Round Neck Black T-Shirt,HOC,251,999,75,,,TSHHMD8QMWWXBZHR,Black
"Apr 17, 2026 @ 00:42:55.611",2e987b43a85034bd21607cd38970a998,https://www.flipkart.com/magneto-printed-men-round-neck-black-t-shirt/p/itmc6169c9785e14?pid=TSHHG742EVEYTNJE&lid=LSTTSHHG742EVEYTNJEVBIMPO&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_27&otracker=browse&fm=organic&iid=en_T0kLveZ7Uem1amLobukH34_bEDdx5Ygo2YJjG9qcg6Ax4K7D0_7exbYhwoane6XQ6hK3aI966t71LxAtiJcSGfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,Magneto Printed Men Round Neck Black T-Shirt,Magneto,339,999,66,4.0,2117,TSHHG742EVEYTNJE,BLACK
"Apr 17, 2026 @ 00:42:55.724",9b80bb010895ccf6e2d73f2f4b6780fd,https://www.flipkart.com/inktees-solid-men-round-neck-multicolor-t-shirt/p/itm1e002039b1afe?pid=TSHGXM6QGBFPEZKH&lid=LSTTSHGXM6QGBFPEZKHPMSW2C&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_28&otracker=browse&fm=organic&iid=en_T0kLveZ7Uem1amLobukH34_bEDdx5Ygo2YJjG9qcg6AJyJ-mMu8JJ52_pfIJKrwUuvGElbw0kgF7wxtirnNkC_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,InkTees Solid Men Round Neck Multicolor T-Shirt,InkTees,424,495,14,4.0,14697,TSHGXM6QGBFPEZKH,Multicolor12
"Apr 17, 2026 @ 00:42:55.854",440b40103cfdfa5fc4f616b3860a5955,https://www.flipkart.com/wings-2-fly-boys-girls-graphic-print-pure-cotton-regular-t-shirt/p/itmf50d13a320e8b?pid=KTBHEDJQHBEC47NZ&lid=LSTKTBHEDJQHBEC47NZLI7CBP&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_29&otracker=browse&fm=organic&iid=6dfd3d3b-78d9-476e-a80b-81290b8775f0.KTBHEDJQHBEC47NZ.SEARCH&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,WINGS 2 FLY Boys & Girls Graphic Print Pure Cotton Regular T Shirt,WINGS 2 FLY,172,199,14,3.5,41,KTBHEDJQHBEC47NZ,Black
"Apr 17, 2026 @ 00:42:55.935",fab38dc6a71dbbbe229c97843aed6ad7,https://www.flipkart.com/hrx-hrithik-roshan-typography-men-round-neck-black-t-shirt/p/itme5b4adea3c83d?pid=TSHGYFM6MK9VMZAU&lid=LSTTSHGYFM6MK9VMZAUECXBNY&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_30&otracker=browse&fm=organic&iid=6dfd3d3b-78d9-476e-a80b-81290b8775f0.TSHGYFM6MK9VMZAU.SEARCH&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,HRX by Hrithik Roshan Typography Men Round Neck Black T-Shirt,HRX by Hrithik Roshan,210,699,70,4.1,128,TSHGYFM6MK9VMZAU,Black
