crawl_timestamp,uniq_id,page_url,product_name,list_price,selling_price,discount_percentage,color,size,description,sku
"Aug 22, 2026 @ 20:34:48.790",75a063b0b089e71163c6cffae4b822b2,https://doodlage.in/products/dl26-dr-057-natalie-black-dress,NATALIE BLACK DRESS,,,,,,,SKU: DL26-DR-057-XS
"Aug 22, 2026 @ 20:34:48.805",b0bfd108bf6eb467cb251d76ab9de5ea,https://doodlage.in/products/dl26-dr-055-mary-black-dress,MARY BLACK DRESS,,,,,,,SKU: DL26-DR-055-XS
"Aug 22, 2026 @ 20:34:48.838",0fe17694878c9c15b1387749c71b4bb2,https://doodlage.in/products/dl26-dr-051-sarah-sand-beige-dress,SARAH SAND BEIGE DRESS,,,,,,,SKU: DL26-DR-051-XS
"Aug 22, 2026 @ 20:34:48.864",cbc1445224a5ed98458ae7f013e0fbe2,https://doodlage.in/products/dl26-dr-049-natalie-beige-dress,NATALIE BEIGE DRESS,,,,,,,SKU: DL26-DR-049-XS
"Aug 22, 2026 @ 20:34:48.892",dde9cb39f78cd125286bb6bfc74d0fb6,https://doodlage.in/products/dl26-jk-005-sylvia-muted-indigo-waistcoat,SYLVIA MUTED INDIGO WAISTCOAT,,,,,,,SKU: DL26-JK-005-XS
"Aug 22, 2026 @ 20:34:48.911",d1eb5c4a1d5a910d6642b458dce4c944,https://doodlage.in/products/dl26-dr-056-midsummer-sand-beige-dress,MIDSUMMER SAND BEIGE  DRESS,,,,,,,SKU: DL26-DR-056-XS-S
"Aug 22, 2026 @ 20:34:48.931",2be2df0177a57d5ef7f5eec12093d553,https://doodlage.in/products/dl26-dr-048-mary-beige-dress,MARY BEIGE DRESS,,,,,,,SKU: DL26-DR-048-XS
"Aug 22, 2026 @ 20:34:48.995",6165b234a2879b2897c6c92de51c929f,https://doodlage.in/products/dl26-dr-054-erna-sand-beige-dress,ERNA SAND BEIGE DRESS,,,,,,,SKU: DL26-DR-054-S-L
"Aug 22, 2026 @ 20:34:49.024",2f9add2ca5ea1357b1e6ed1e669bc094,https://doodlage.in/products/dl26-dr-060-susan-white-dress,SUSAN WHITE DRESS,,,,,,,SKU: DL26-DR-060-S-L
"Aug 22, 2026 @ 20:34:49.043",a146ea9b62a8590b733bf8be69fd2790,https://doodlage.in/products/dl26-dr-059-susan-muted-indigo-dress,SUSAN MUTED INDIGO DRESS,,,,,,,SKU: DL26-DR-059-S-L
"Aug 22, 2026 @ 20:34:49.073",ca113b555cf05b0920af727ac1192fa9,https://doodlage.in/products/dl26-tp-015-ease-white-top,EASE WHITE TOP,,,,,,,SKU: DL26-TP-015-ONE SIZE
"Aug 22, 2026 @ 20:34:49.092",d2ab59eb61f08fe8ea3abde1206064bc,https://doodlage.in/products/dl26-dr-043-susan-beige-dress,SUSAN BEIGE DRESS,,,,,,,SKU: DL26-DR-043-S-L
"Aug 22, 2026 @ 20:34:49.118",0a7b1ef80c46f928398f4a44b847163c,https://doodlage.in/products/dl26-dr-044-erna-white-dress,ERNA WHITE DRESS,,,,,,,SKU: DL26-DR-044-S-L
"Aug 22, 2026 @ 20:34:49.150",b83dac7f7fae18308fed609a31110180,https://doodlage.in/products/dl26-tp-013-ease-black-top,EASE BLACK TOP,,,,,,,SKU: DL26-TP-013-ONE SIZE
"Aug 22, 2026 @ 20:34:49.170",fd1b13846c9b4de29af5ed758c55ba74,https://doodlage.in/products/dl26-tn-011-blake-noir-tunic,BLAKE NOIR TUNIC,,,,,,,SKU: DL26-TN-011-ONE SIZE
"Aug 22, 2026 @ 20:34:49.197",af2faa4e7641bb82ae960cdb8af7fcd6,https://doodlage.in/products/dl26-tn-009-blake-muted-indigo-tunic,BLAKE MUTED INDIGO TUNIC,,,,,,,SKU: DL26-TN-009-ONE SIZE
"Aug 22, 2026 @ 20:34:49.219",8126a56393cfef47045693ac46d26884,https://doodlage.in/products/dl26-tn-010-blake-soft-white-tunic,BLAKE SOFT WHITE TUNIC,,,,,,,SKU: DL26-TN-010-ONE SIZE
"Aug 22, 2026 @ 20:34:49.235",b7a82deb7e83e6909fe738f9e59958d0,https://doodlage.in/products/dl26-dr-058-sora-white-dress,SORA WHITE DRESS,,,,,,,SKU: DL26-DR-058-S-XL
"Aug 22, 2026 @ 20:34:49.258",42437d048e0604adebfe399216b9484a,https://doodlage.in/products/dl26-tp-011-ease-flora-top,EASE FLORA TOP,,,,,,,SKU: DL26-TP-011-ONE SIZE
"Aug 22, 2026 @ 20:34:49.287",ccb5932a501730074728f67027413d6e,https://doodlage.in/products/dl26-tp-009-eclipse-little-flower-top,ECLIPSE LITTLE FLOWER TOP,,,,,,,SKU: DL26-TP-009-ONE SIZE
"Aug 22, 2026 @ 20:34:49.350",8ad3df45b805c13aa178e6ea2550452d,https://doodlage.in/products/dl26-tp-010-eclipse-denim-patchwork-top,ECLIPSE DENIM PATCHWORK  TOP,,,,,,,SKU: DL26-TP-010-ONE SIZE
"Aug 22, 2026 @ 20:34:49.375",1d88d00c27c8c74ed4477f6daecf8b33,https://doodlage.in/products/dl26-tp-008-eclipse-denim-top,ECLIPSE DENIM BIB,,,,,,,SKU: DL26-TP-008-ONE SIZE
"Aug 22, 2026 @ 20:34:49.405",cff0c7e23ffe0939c3cadbd0e78222ab,https://doodlage.in/products/dl26-tp-014-ease-muted-indigo-top,EASE MUTED INDIGO TOP,,,,,,,SKU: DL26-TP-014-ONE SIZE
"Aug 22, 2026 @ 20:34:49.428",db8a9a80777b080dd2652e2c87f1824d,https://doodlage.in/products/dl26-dr-042-arlene-flora-printed-dress,ARLENE FLORA PRINTED DRESS,,,,,,,SKU: DL26-DR-042-ONE SIZE
"Aug 22, 2026 @ 20:34:49.457",faf99e5843762abcde7e44e3f38b3119,https://doodlage.in/products/dl26-dr-046-midsummer-flora-printed-dress,MIDSUMMER FLORA PRINTED DRESS,,,,,,,SKU: DL26-DR-046-XS-S
"Aug 22, 2026 @ 20:34:49.480",c3d023e5902b316eb4757e3c2b259c10,https://doodlage.in/products/dl26-dr-047-mary-flora-printed-dress,MARY FLORA PRINTED DRESS,,,,,,,SKU: DL26-DR-047-XS
"Aug 22, 2026 @ 20:34:49.511",b9ebfc0e390be5091f7736b2c1962159,https://doodlage.in/products/dlji24-dr-006-arlene-black-dress,Arlene Black Dress,,,,,,,SKU: DLJI24-DR-006-One Size
"Aug 22, 2026 @ 20:34:49.541",63cb506aa65d2344e7ed81b29c8161b9,https://doodlage.in/products/dl26-sh-011-renelle-muted-indigo-shirt,RENELLE MUTED INDIGO  SHIRT,,,,,,,SKU: DL26-SH-011-XS
"Aug 22, 2026 @ 20:34:49.561",f2fbad08d57bbe28b15ee1ef4f638dcd,https://doodlage.in/products/dl24-jk-008-amelia-denim-trench,Amelia Denim Trench,,,,,,,SKU: DL24-JK-008-XS
"Aug 22, 2026 @ 20:34:49.587",b8d12d4f11c2cd0916f5cbd90058ecc1,https://doodlage.in/products/dl24-tp-004-fern-striped-top,Fern Striped Top,,,,,,,SKU: DL24-TP-004-XS
"Aug 22, 2026 @ 20:34:49.609",78de8f80b2c25f02b72d8ac9fb219910,https://doodlage.in/products/dl24-sk-004-judy-printed-skirt,Judy Printed Skirt,,,,,,,SKU: DL24-SK-004-XS
"Aug 22, 2026 @ 20:34:49.630",7d3645fc53021398cf245063e9bf6f50,https://doodlage.in/products/dl23-jk-001,Liza Printed Blazer,,,,,,,SKU: DL23-JK-001-S
"Aug 22, 2026 @ 20:34:49.655",a0535dbe276649bc85c7fd7f9cb1ec84,https://doodlage.in/products/dl24-dr-015-thea-shirt-dress,Thea Shirt Dress,,,,,,,SKU: DL24-DR-015-M
"Aug 22, 2026 @ 20:34:49.674",14316a80ad74144518a1649caf1047cf,https://doodlage.in/products/eva-emberoidered-dress,EVA EMBROIDERED DRESS,,,,,,,SKU: DL22-DR-013U-S
