product_name,brand,selling_price,list_price,discount_percentage,rating,num_reviews,size,color,description,sku
U TURN Men's Casual Printed Striped Stylish Latest Formal Shirt for Men,U TURN,398,3307,75,3.7,1733,M,Pink,Men casual shirt || shirt for men casual || Stylish Latest Shirt for Men || men shirt Partywear stylish cotton || Shirt for Men Formal || Shirt for Men Semi Formal || Men Shirt Striped Printed || mens casual shirts || shirt for man || Shirts for men || casual shirt for men ||shirts for men stylish || mens shirt casual stylish || formal Shirts for Men || Printed Shirts for Men || Men shirt Casual || check shirt for man || mens checks shirts || checks shirt for men || White Shirt for Men || Black Shirt for Men || Partywear Shirts || Trending shirt for Men || Plus Size Shirts for Men || Oversize Shirts for Men,B0CBX4KN8L
U TURN Men's Casual Printed Striped Stylish Latest Formal Shirt for Men,U TURN Store,398,,75,3.7,1733,M,Lightblue,,
CB-COLEBROOK Men's Regular Fit Solid Soft Touch Cotton Casual Shirt with Pocket Design with Spread Collar & Full Sleeves (Available in Plus Size),CB-COLEBROOK,495,,73,3.6,3,XL,MAUVE,,B0CMM2HCN8
U TURN Men's Casual Printed Striped Stylish Latest Formal Shirt for Men,U TURN Store,398,,75,3.7,1733,M,LGREEN,,
U TURN Men's Casual Printed Striped Stylish Latest Formal Shirt for Men,U TURN,379,449,76,3.7,1733,M,Grey,Men casual shirt || shirt for men casual || Stylish Latest Shirt for Men || men shirt Partywear stylish cotton || Shirt for Men Formal || Shirt for Men Semi Formal || Men Shirt Striped Printed || mens casual shirts || shirt for man || Shirts for men || casual shirt for men ||shirts for men stylish || mens shirt casual stylish || formal Shirts for Men || Printed Shirts for Men || Men shirt Casual || check shirt for man || mens checks shirts || checks shirt for men || White Shirt for Men || Black Shirt for Men || Partywear Shirts || Trending shirt for Men || Plus Size Shirts for Men || Oversize Shirts for Men,B0CBX6DJH6
U TURN Men's Casual Printed Striped Stylish Latest Formal Shirt for Men,U TURN Store,398,,75,3.7,1733,M,WHITE-BLUE,,
U TURN Men's Casual Printed Striped Stylish Latest Formal Shirt for Men,U TURN,428,,73,3.7,1733,M,White,Men casual shirt || shirt for men casual || Stylish Latest Shirt for Men || men shirt Partywear stylish cotton || Shirt for Men Formal || Shirt for Men Semi Formal || Men Shirt Striped Printed || mens casual shirts || shirt for man || Shirts for men || casual shirt for men ||shirts for men stylish || mens shirt casual stylish || formal Shirts for Men || Printed Shirts for Men || Men shirt Casual || check shirt for man || mens checks shirts || checks shirt for men || White Shirt for Men || Black Shirt for Men || Partywear Shirts || Trending shirt for Men || Plus Size Shirts for Men || Oversize Shirts for Men,B0D878CL4M
U TURN Men's Casual Printed Striped Stylish Latest Formal Shirt for Men,U TURN,398,3307,75,3.7,1733,M,Pink,Men casual shirt || shirt for men casual || Stylish Latest Shirt for Men || men shirt Partywear stylish cotton || Shirt for Men Formal || Shirt for Men Semi Formal || Men Shirt Striped Printed || mens casual shirts || shirt for man || Shirts for men || casual shirt for men ||shirts for men stylish || mens shirt casual stylish || formal Shirts for Men || Printed Shirts for Men || Men shirt Casual || check shirt for man || mens checks shirts || checks shirt for men || White Shirt for Men || Black Shirt for Men || Partywear Shirts || Trending shirt for Men || Plus Size Shirts for Men || Oversize Shirts for Men,B0CBX4KN8L
Peter England Men's Everyday Solid Slim Fit Full Sleeve Formal Shirt | Cotton-Rich,Peter England,899,1999,36,4.0,1791,39,Navy,"Made from Wonder Fabric CVC, combining softness and durability for lasting comfort. Cotton-rich composition ensures breathability and a refined feel. Crafted in classic pinpoint oxford weave for a smooth, polished texture. Solid color design for timeless, versatile formalwear. Features full sleeves with expertly tailored cuffs for a sharp, professional look",B0BHW7NTQG
Peter England Men's Everyday Solid Slim Fit Full Sleeve Formal Shirt | Cotton-Rich,Peter England,869,1999,38,4.0,1791,39,Light Peach,"Made from Wonder Fabric CVC, combining softness and durability for lasting comfort. Cotton-rich composition ensures breathability and a refined feel. Crafted in classic pinpoint oxford weave for a smooth, polished texture. Solid color design for timeless, versatile formalwear. Features full sleeves with expertly tailored cuffs for a sharp, professional look",B0BHW5X4N3
Peter England Men's Everyday Solid Slim Fit Full Sleeve Formal Shirt | Cotton-Rich,Peter England,899,1999,36,4.0,1791,39,Light Pink,"Made from Wonder Fabric CVC, combining softness and durability for lasting comfort. Cotton-rich composition ensures breathability and a refined feel. Crafted in classic pinpoint oxford weave for a smooth, polished texture. Solid color design for timeless, versatile formalwear. Features full sleeves with expertly tailored cuffs for a sharp, professional look",B0BHW613K8
Peter England Men's Everyday Solid Slim Fit Full Sleeve Formal Shirt | Cotton-Rich,Peter England,937,3307,33,4.0,1791,39,Lilac,"Made from Wonder Fabric CVC, combining softness and durability for lasting comfort. Cotton-rich composition ensures breathability and a refined feel. Crafted in classic pinpoint oxford weave for a smooth, polished texture. Solid color design for timeless, versatile formalwear. Features full sleeves with expertly tailored cuffs for a sharp, professional look",B0BHW7Y14Y
Peter England Men's Everyday Solid Slim Fit Full Sleeve Formal Shirt | Cotton-Rich,Peter England,899,1999,36,4.0,1791,39,Navy,"Made from Wonder Fabric CVC, combining softness and durability for lasting comfort. Cotton-rich composition ensures breathability and a refined feel. Crafted in classic pinpoint oxford weave for a smooth, polished texture. Solid color design for timeless, versatile formalwear. Features full sleeves with expertly tailored cuffs for a sharp, professional look",B0BHW7NTQG
NexaFlair Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday Formal Wear,NexaFlair,465,2299,77,3.2,698,L,BEIGE,,B0FBX2VN3B
NexaFlair Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday Formal Wear,NexaFlair,465,,77,3.2,698,L,BROWN,,
Peter England Men's Everyday Solid Slim Fit Full Sleeve Formal Shirt | Cotton-Rich,Peter England,1019,1200,42,4.0,4,39,Light Blue,,B0BHW47KD3
Peter England Men's Everyday Solid Slim Fit Full Sleeve Formal Shirt | Cotton-Rich,Peter England,1029,,36,4.0,4,39,Navy,,B0BHW7NTQG
NexaFlair Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday Formal Wear,NexaFlair,465,2299,77,3.2,698,L,BLACK,,B0DXCXSHH1
Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday Formal Wear,NexaFlair,1479,,0,3.2,683,L,BEIGE,,B0FBX2VN3B
NexaFlair Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday Formal Wear,NexaFlair,495,2299,0,3.2,698,L,CREAM,,B0FBX36G9D
NexaFlair Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday Formal Wear,NexaFlair,465,,77,3.2,698,L,BEIGE,,
NexaFlair Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday Formal Wear,NexaFlair,465,2299,77,3.2,698,L,GREEN,,B0DXCY8GJ1
NexaFlair Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday Formal Wear,NexaFlair,1540,,77,3.2,3,L,CADET BLUE,,B0FB9B5WTZ
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly Store,1007,,41,3.7,18237,42,Aqua Blue,,
NexaFlair Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday Formal Wear,NexaFlair,465,815,77,3.2,3,L,BEIGE,,B0FBX2VN3B
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly,959,,40,3.7,3,42,Olive,,B07DMYKXKD
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly,959,1999,40,3.7,18237,42,Olive,Allen solly Mens Cotton Full sleeve Overdyed shirts with contrast logo,B07DMYKXKD
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly Store,1019,,36,3.7,18237,42,Green,,
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly,1049,1999,25,3.7,18237,42,Blue,Allen solly Mens Cotton Full sleeve Overdyed shirts with contrast logo,B07DMQR8B9
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly,1019,2299,40,3.7,18237,42,Maroon,Allen solly Mens Cotton Full sleeve Overdyed shirts with contrast logo,B07DMVHSPZ
