crawl_timestamp,uniq_id,page_url,product_name,brand,selling_price,list_price,discount_percentage,rating,num_reviews,sku,color
"Apr 20, 2026 @ 22:12:17.831",170e1b90db49c392c2570e360f555c51,https://www.myntra.com/kurtas/anouk/anouk-women-ethnic-motifs-liva-kurtas/37147812/buy,Anouk Women Ethnic Motifs Liva Kurtas,Anouk,608,1799,66,3.9,15,37147812,Red
"Apr 20, 2026 @ 22:12:18.113",1ea07b999ce080021f553763a0992d0f,https://www.myntra.com/kurtas/rocket+science/rocket-science-boys-blue-kurtas/35934496/buy,Rocket Science Boys Blue Kurtas,Rocket Science,494,1299,62,,,35934496,Blue
"Apr 20, 2026 @ 22:12:19.419",e54e05e0908677a497871de120f60c4f,https://www.myntra.com/kurtas/sangria/sangria-embroidered-mandarin-collar-calf-length-straight-kurtas/39702674/buy,Sangria Embroidered Mandarin Collar Calf Length Straight Kurtas,Sangria,799,2499,68,4.1,3735,39702674,Maroon
"Apr 20, 2026 @ 22:12:19.519",6cc3a42a2681a0c433f46326e7952967,https://www.myntra.com/kurtas/uparna/uparna-cotton-women-kurtas/35120860/buy,Uparna Cotton Women Kurtas,Uparna,658,1118,41,4.0,392,35120860,Green
"Apr 20, 2026 @ 22:12:19.893",13c2daf0e9efbae9fc9d78f7cf78a0f0,https://www.myntra.com/kurtas/rocket+science/rocket-science-boys-grey-kurtas/35949651/buy,Rocket Science Boys Grey Kurtas,Rocket Science,494,1299,62,4.0,5,35949651,Grey
"Apr 20, 2026 @ 22:12:20.159",4523d9d728e24dc34d032c2506e7536e,https://www.myntra.com/kurtas/sojanya/sojanya-men-cream-coloured-geometric-printed-kurta/20825170/buy,SOJANYA Men Cream-Coloured Geometric Printed Kurta,SOJANYA,816,3327,75,4.2,1167,20825170,Cream
"Apr 20, 2026 @ 22:12:21.192",95c1860daff313332eb85b9eb8c09a24,https://www.myntra.com/kurtas/sangria/sangria-printed-cotton-v-neck-anarkali-kurtas/39658745/buy,Sangria Printed Cotton V-Neck Anarkali Kurtas,Sangria,889,2699,67,4.8,6,39658745,Blue
"Apr 20, 2026 @ 22:12:21.414",cbebc26546aebe9c3c7f4edaff0a6ceb,https://www.myntra.com/kurtas/sangria/sangria--round-neck-calf-length-straight-kurtas/40582071/buy,Sangria  Round Neck Calf Length Straight Kurtas,Sangria,661,2499,74,,,40582071,Burgundy
"Apr 20, 2026 @ 22:12:21.783",6c553c3cdc3faa33a15d3538f38e3029,https://www.myntra.com/kurtas/kalini/kalini-women-mustard-cotton-anarkali-kurtas/36683245/buy,KALINI Women Mustard Cotton Anarkali Kurtas,KALINI,679,2199,69,4.5,681,36683245,Mustard
"Apr 20, 2026 @ 22:12:21.942",796e124d4d979fd2d8a6b0a96a1014f5,https://www.myntra.com/kurtas/sangria/sangria--round-neck-calf-length-straight-kurtas/40581979/buy,Sangria  Round Neck Calf Length Straight Kurtas,Sangria,666,2499,73,,,40581979,Blue
"Apr 20, 2026 @ 22:12:21.973",417b845f4cd87263af6f9985d01fc78f,https://www.myntra.com/tshirts/moda+rapido/moda-rapido-men-polo-collar-t-shirt/32421223/buy,Moda Rapido Men Polo Collar T-shirt,Moda Rapido,329,999,67,4.2,40845,32421223,Coffee Brown
"Apr 20, 2026 @ 22:12:23.027",9cee2f443a3472e0d8d8b9e79cc88a8b,https://www.myntra.com/kurtas/sangria/sangria-printed-round-neck-a-line-kurtas/38467534/buy,Sangria Printed Round Neck A-Line Kurtas,Sangria,615,3149,80,,,38467534,Black
"Apr 20, 2026 @ 22:12:23.590",6538dacea83da25cb6c0745f977f09e7,https://www.myntra.com/kurtas/jompers/jompers-men-cream-coloured-ethnic-motifs-embroidered-cotton-kurta/17027020/buy,Jompers Men Cream-Coloured Ethnic Motifs Embroidered Cotton Kurta,Jompers,727,2799,74,4.2,12620,17027020,Cream
"Apr 20, 2026 @ 22:12:23.665",c5dc7dbcd0ba9dedb668d69168a4817e,https://www.myntra.com/kurtas/prisca/prisca-women-viscose-rayon-straight-kurtas/36405760/buy,PRISCA Women Viscose Rayon Straight Kurtas,PRISCA,396,999,60,4.1,86,36405760,Multi
"Apr 20, 2026 @ 22:12:24.075",de6196c4c8b133125d3b5520608bbda2,https://www.myntra.com/tshirts/kajaru/kajaru-men-colourblocked-polo-collar-t-shirt/40859669/buy,KAJARU Men Colourblocked Polo Collar T-shirt,KAJARU,349,999,65,4.1,284,40859669,Brown
"Apr 20, 2026 @ 22:12:25.055",09143bf540ba096c4f540d9a52f01b91,https://www.myntra.com/lounge-tshirts/lux+cozi/lux-cozi-polo-collar-lounge-tshirts/28138210/buy,Lux Cozi Polo Collar Lounge Tshirts,Lux Cozi,380,380,,4.2,14073,28138210,Blue
"Apr 20, 2026 @ 22:12:25.577",db70be96d59c92f3f45359b00f5fdada,https://www.myntra.com/tshirts/the+indian+garage+co/the-indian-garage-co-striped-polo-collar-t-shirt/19814084/buy,The Indian Garage Co Striped Polo Collar T-shirt,The Indian Garage Co,475,1399,66,4.4,1400,19814084,White
"Apr 20, 2026 @ 22:12:25.798",4b2fa937dc3ab7005dc25efbb901a425,https://www.myntra.com/tshirts/moda+rapido/moda-rapido-men-polo-collar-t-shirt/32421368/buy,Moda Rapido Men Polo Collar T-shirt,Moda Rapido,329,999,67,4.2,40846,32421368,Black
"Apr 20, 2026 @ 22:12:25.805",2fd827e4dc85806a5a76c2d30d500e2d,https://www.myntra.com/tshirts/united+colors+of+benetton/united-colors-of-benetton-boys-polo-collar-t-shirt-with-contrast-sleeve/35076820/buy,United Colors of Benetton Boys Polo Collar T-shirt with Contrast Sleeve,United Colors of Benetton,610,1299,53,4.5,56,35076820,Blue
